Primary_Category_Alt,Name,price_range_description,Price,Discount,Description,upload_date_time,Status,Inventory_Level,Reorder_Point,Lead_Time_Days,Supplier,Last_Restock_Date,Discount_Percentage,Total_Revenue,Demand,date,week,lag_1,rolling_mean
Home,Jeans,Premium,285.024766,39.87978888,Jeans in Home category,07:21.7,Available,188,71,20,Supplier_6,07:21.7,39.87978888,28445.34351,166,1/7/2024,1,123,0
Home,Sneakers,Low,21.10944985,11.8878128,Sneakers in Home category,07:21.7,Available,64,86,24,Supplier_7,07:21.7,11.8878128,799.7999126,43,3/12/2021,10,239,0
Shoes,Jacket,Medium,55.33740942,23.67228595,Jacket in Shoes category,07:21.7,Available,344,59,9,Supplier_8,07:21.7,23.67228595,14529.79619,344,12/18/2022,50,0,0
Shoes,Shirt,High,183.8068009,8.35732689,Shirt in Shoes category,07:21.7,Available,110,29,23,Supplier_6,07:21.7,8.35732689,18529.00122,110,5/22/2021,20,0,0
Women,Jacket,High,118.0652221,15.37048155,Jacket in Women category,07:21.7,Available,23,44,9,Supplier_6,07:21.7,15.37048155,599.5081735,6,9/26/2022,39,0,0
Accessories,Jacket,Low,21.52371302,6.31521287,Jacket in Accessories category,07:21.7,Available,136,61,17,Supplier_7,07:21.7,6.31521287,1431.675576,71,10/19/2023,42,0,0
Men,Jeans,Low,21.25812797,21.51579259,Jeans in Men category,07:21.7,Available,83,100,15,Supplier_2,07:21.7,21.51579259,684.0552032,41,4/8/2024,15,0,0
Women,Jeans,Low,16.78706391,26.47700782,Jeans in Women category,07:21.7,Out of Stock,0,62,2,Supplier_5,07:21.7,26.47700782,0,0,2/3/2022,5,0,0
Men,Bags,High,100.8488993,17.98557441,Bags in Men category,07:21.7,Out of Stock,301,12,24,Supplier_2,07:21.7,17.98557441,24895.90429,301,7/4/2024,27,204,0
Shoes,Jacket,Medium,61.20184446,5.084212803,Jacket in Shoes category,07:21.7,Out of Stock,267,98,8,Supplier_4,07:21.7,5.084212803,15510.08672,267,2/13/2021,6,0,0
Home,Jacket,Low,5.217441345,27.01377348,Jacket in Home category,07:21.7,Out of Stock,144,89,20,Supplier_9,07:21.7,27.01377348,388.417383,102,7/17/2024,29,0,0
Men,Jacket,Medium,35.71485657,7.773121553,Jacket in Men category,07:21.7,Available,115,58,1,Supplier_10,07:21.7,7.773121553,3787.950196,115,3/7/2021,9,131,0
Accessories,Sneakers,Medium,89.75798665,15.13099183,Sneakers in Accessories category,07:21.7,Out of Stock,5,74,19,Supplier_9,07:21.7,15.13099183,380.8835651,5,2/5/2023,5,0,0
Shoes,Jeans,Low,9.501580086,38.41211679,Jeans in Shoes category,07:21.7,Available,493,35,24,Supplier_5,07:21.7,38.41211679,1006.513392,172,10/21/2020,43,0,0
Women,Jacket,Low,19.69810829,26.95170321,Jacket in Women category,07:21.7,Out of Stock,83,51,18,Supplier_4,07:21.7,26.95170321,1194.298006,83,9/24/2022,38,21,0
Accessories,Jacket,High,121.0953727,37.9666201,Jacket in Accessories category,07:21.7,Available,76,20,15,Supplier_3,07:21.7,37.9666201,5709.085997,76,7/12/2023,28,63,0
Kids,Bags,High,125.0847434,28.11198874,Bags in Kids category,07:21.7,Available,438,37,1,Supplier_3,07:21.7,28.11198874,16365.61007,182,12/20/2020,51,0,0
Accessories,Shirt,Premium,312.5437871,16.39715074,Shirt in Accessories category,07:21.7,Available,133,83,23,Supplier_2,07:21.7,16.39715074,6271.092269,24,3/22/2023,12,0,0
Home,Sneakers,Premium,374.9392147,22.09747663,Sneakers in Home category,07:21.7,Out of Stock,368,23,26,Supplier_6,07:21.7,22.09747663,57833.24765,198,1/19/2021,3,0,0
Home,Jeans,Low,24.70099714,13.17133294,Jeans in Home category,07:21.7,Available,107,45,16,Supplier_10,07:21.7,13.17133294,2294.887483,107,4/13/2024,15,114,0
Accessories,Jeans,Low,6.126747673,5.559923813,Jeans in Accessories category,07:21.7,Available,124,92,10,Supplier_8,07:21.7,5.559923813,717.4770411,124,3/5/2021,9,0,0
Men,Shirt,Premium,466.3444198,33.58952393,Shirt in Men category,07:21.7,Out of Stock,257,38,9,Supplier_8,07:21.7,33.58952393,79593.29818,257,8/21/2021,33,0,0
Home,Shirt,Premium,259.5466317,47.10055312,Shirt in Home category,07:21.7,Available,304,79,7,Supplier_5,07:21.7,47.10055312,20182.91369,147,12/21/2020,52,0,0
Accessories,Bags,Premium,399.4636752,21.04952684,Bags in Accessories category,07:21.7,Available,389,28,5,Supplier_7,07:21.7,21.04952684,116374.6524,369,5/24/2022,21,0,0
Men,Dress,Premium,240.2083033,15.26075608,Dress in Men category,07:21.7,Available,325,16,22,Supplier_3,07:21.7,15.26075608,52719.63132,259,10/3/2020,40,0,0
Men,Bags,Premium,253.7557422,48.14088946,Bags in Men category,07:21.7,Out of Stock,458,61,17,Supplier_8,07:21.7,48.14088946,15396.67009,117,1/5/2022,1,0,0
Women,Sneakers,Medium,98.70152698,42.57463208,Sneakers in Women category,07:21.7,Available,0,85,4,Supplier_7,07:21.7,42.57463208,0,0,10/12/2021,41,0,0
Accessories,Jacket,Low,12.43238017,17.04814548,Jacket in Accessories category,07:21.7,Out of Stock,167,84,30,Supplier_3,07:21.7,17.04814548,1722.252615,167,4/1/2022,13,1,0
Men,Shirt,Low,21.0888229,28.30541089,Shirt in Men category,07:21.7,Out of Stock,96,21,22,Supplier_5,07:21.7,28.30541089,166.3149942,11,9/1/2024,35,0,0
Home,Bags,Premium,273.1920141,30.84472339,Bags in Home category,07:21.7,Out of Stock,90,89,26,Supplier_5,07:21.7,30.84472339,17003.40237,90,4/16/2021,15,0,0
Men,Shirt,High,195.2982595,39.90152862,Shirt in Men category,07:21.7,Available,408,71,5,Supplier_7,07:21.7,39.90152862,23826.36752,203,11/15/2021,46,0,0
Kids,Jacket,High,134.5659215,21.83262715,Jacket in Kids category,07:21.7,Out of Stock,418,41,7,Supplier_10,07:21.7,21.83262715,17040.23658,162,3/18/2024,12,0,0
Kids,Jeans,High,171.6352524,40.10994324,Jeans in Kids category,07:21.7,Out of Stock,380,82,13,Supplier_5,07:21.7,40.10994324,14493.73546,141,9/14/2024,37,0,0
Accessories,Shirt,High,184.2852143,39.37531856,Shirt in Accessories category,07:21.7,Out of Stock,489,99,25,Supplier_9,07:21.7,39.37531856,35527.69907,318,6/8/2022,23,182,0
Accessories,Shirt,Premium,204.3497807,36.71280723,Shirt in Accessories category,07:21.7,Out of Stock,57,32,14,Supplier_3,07:21.7,36.71280723,2457.217553,19,10/13/2021,41,0,0
Shoes,Jeans,Premium,371.5098664,27.28550507,Jeans in Shoes category,07:21.7,Available,28,20,6,Supplier_5,07:21.7,27.28550507,3781.981322,14,3/2/2023,9,0,0
Men,Bags,High,180.1322276,34.90252691,Bags in Men category,07:21.7,Available,259,62,19,Supplier_10,07:21.7,34.90252691,11726.15284,100,8/12/2023,32,0,0
Shoes,Dress,Premium,395.805223,24.62582569,Dress in Shoes category,07:21.7,Available,352,19,29,Supplier_3,07:21.7,24.62582569,67722.02654,227,9/7/2021,36,0,0
Accessories,Jacket,Medium,48.6329981,34.16456788,Jacket in Accessories category,07:21.7,Available,438,100,11,Supplier_3,07:21.7,34.16456788,7107.939268,222,6/30/2024,26,0,0
Home,Sneakers,High,161.2273309,42.11466837,Sneakers in Home category,07:21.7,Available,21,44,16,Supplier_4,07:21.7,42.11466837,1959.866479,21,10/23/2021,42,0,0
Shoes,Jeans,High,125.7650921,36.04467823,Jeans in Shoes category,07:21.7,Out of Stock,139,90,21,Supplier_9,07:21.7,36.04467823,11180.25223,139,2/13/2023,7,0,0
Women,Jacket,Low,24.66819052,8.868399864,Jacket in Women category,07:21.7,Available,94,47,1,Supplier_4,07:21.7,8.868399864,2113.168574,94,10/30/2020,44,80,0
Men,Dress,Low,23.60499957,11.98796467,Dress in Men category,07:21.7,Available,359,33,4,Supplier_6,07:21.7,11.98796467,4071.947151,196,12/25/2023,52,0,0
Kids,Dress,High,137.5062757,44.22504333,Dress in Kids category,07:21.7,Out of Stock,133,31,11,Supplier_9,07:21.7,44.22504333,10200.31074,133,3/30/2022,13,0,0
Home,Sneakers,High,156.4836804,7.610885545,Sneakers in Home category,07:21.7,Available,112,43,26,Supplier_1,07:21.7,7.610885545,16192.2753,112,4/10/2022,14,0,0
Women,Shirt,High,140.5101604,10.78842181,Shirt in Women category,07:21.7,Available,217,95,14,Supplier_7,07:21.7,10.78842181,16421.02444,131,9/27/2024,39,0,0
Men,Jeans,High,157.9998188,17.03790019,Jeans in Men category,07:21.7,Available,229,36,25,Supplier_1,07:21.7,17.03790019,25429.51367,194,12/17/2021,50,68,0
Kids,Shirt,Medium,50.20763007,9.688671367,Shirt in Kids category,07:21.7,Available,4,44,9,Supplier_7,07:21.7,9.688671367,181.3727112,4,1/25/2021,4,0,0
Kids,Dress,High,199.6813686,17.30998674,Dress in Kids category,07:21.7,Available,218,93,8,Supplier_5,07:21.7,17.30998674,8255.827509,50,7/9/2021,27,0,0
Accessories,Jeans,High,117.5843884,30.96095414,Jeans in Accessories category,07:21.7,Available,343,45,14,Supplier_9,07:21.7,30.96095414,5276.644091,65,12/26/2022,52,0,0
Shoes,Dress,Low,10.90285421,24.16156474,Dress in Shoes category,07:21.7,Out of Stock,265,76,18,Supplier_10,07:21.7,24.16156474,2191.166819,265,11/14/2023,46,0,0
Men,Sneakers,High,107.4887689,30.19791227,Sneakers in Men category,07:21.7,Out of Stock,446,52,17,Supplier_5,07:21.7,30.19791227,19357.58642,258,2/9/2022,6,0,0
Home,Jacket,Premium,223.5135306,30.08377472,Jacket in Home category,07:21.7,Available,213,75,7,Supplier_5,07:21.7,30.08377472,33285.98362,213,9/2/2021,35,116,0
Kids,Jeans,Medium,65.71497371,14.1594975,Jeans in Kids category,07:21.7,Available,186,60,23,Supplier_3,07:21.7,14.1594975,6317.927129,112,6/10/2021,23,0,0
Women,Shirt,Premium,299.1355552,46.94653468,Shirt in Women category,07:21.7,Available,408,91,30,Supplier_9,07:21.7,46.94653468,25550.98626,161,9/22/2021,38,150,0
Men,Jacket,Low,28.87515986,19.70125532,Jacket in Men category,07:21.7,Out of Stock,356,19,2,Supplier_3,07:21.7,19.70125532,2341.82548,101,7/31/2023,31,0,0
Kids,Dress,Medium,43.8061867,38.30659817,Dress in Kids category,07:21.7,Available,195,53,29,Supplier_6,07:21.7,38.30659817,459.4339554,17,10/7/2022,40,0,0
Shoes,Shirt,Medium,55.82825409,34.86076346,Shirt in Shoes category,07:21.7,Out of Stock,229,51,17,Supplier_10,07:21.7,34.86076346,4254.833524,117,1/21/2022,3,316,0
Women,Sneakers,Low,21.25874231,7.909592273,Sneakers in Women category,07:21.7,Out of Stock,329,36,27,Supplier_10,07:21.7,7.909592273,3660.948082,187,1/2/2021,53,0,0
Shoes,Jeans,Medium,68.2549722,22.13680945,Jeans in Shoes category,07:21.7,Available,412,64,10,Supplier_1,07:21.7,22.13680945,15305.90373,288,2/7/2024,6,0,0
Home,Jacket,High,169.6442375,39.01113621,Jacket in Home category,07:21.7,Available,369,100,12,Supplier_4,07:21.7,39.01113621,38178.25028,369,2/9/2023,6,108,0
Shoes,Shirt,Premium,468.1091795,49.00164236,Shirt in Shoes category,07:21.7,Out of Stock,190,55,5,Supplier_7,07:21.7,49.00164236,39390.11892,165,12/20/2022,51,0,0
Home,Jacket,Medium,94.76260262,30.55521399,Jacket in Home category,07:21.7,Out of Stock,293,59,10,Supplier_5,07:21.7,30.55521399,15464.80635,235,10/20/2023,42,0,0
Home,Shirt,Medium,83.50415015,19.43552503,Shirt in Home category,07:21.7,Out of Stock,416,30,1,Supplier_8,07:21.7,19.43552503,27246.24546,405,11/13/2023,46,62,0
Shoes,Sneakers,Medium,46.26533178,38.87745172,Sneakers in Shoes category,07:21.7,Available,374,52,29,Supplier_9,07:21.7,38.87745172,5372.924454,190,10/29/2023,43,0,0
Home,Jeans,High,186.6046471,17.86099522,Jeans in Home category,07:21.7,Out of Stock,329,51,15,Supplier_2,07:21.7,17.86099522,36326.22241,237,7/14/2023,28,0,0
Accessories,Shirt,Low,11.25391927,38.21976236,Shirt in Accessories category,07:21.7,Available,422,83,28,Supplier_8,07:21.7,38.21976236,118.1958672,17,12/23/2023,51,0,0
Women,Sneakers,Medium,37.66091725,10.68325245,Sneakers in Women category,07:21.7,Available,295,61,17,Supplier_3,07:21.7,10.68325245,7972.089013,237,10/13/2020,42,0,0
Kids,Jeans,High,134.4185854,6.307798902,Jeans in Kids category,07:21.7,Out of Stock,195,75,29,Supplier_2,07:21.7,6.307798902,24558.24761,195,12/17/2022,50,13,0
Kids,Jeans,High,119.9677088,22.51527178,Jeans in Kids category,07:21.7,Out of Stock,450,45,15,Supplier_3,07:21.7,22.51527178,8552.01209,92,5/20/2024,21,0,0
Men,Dress,Low,27.50301235,29.78418885,Dress in Men category,07:21.7,Available,49,45,22,Supplier_4,07:21.7,29.78418885,946.2616975,49,4/23/2021,16,0,0
Shoes,Dress,Low,26.14709776,7.433120362,Dress in Shoes category,07:21.7,Out of Stock,277,42,9,Supplier_5,07:21.7,7.433120362,2008.894859,83,6/18/2022,24,325,0
Men,Jeans,Premium,331.6708496,48.86180723,Jeans in Men category,07:21.7,Available,274,67,6,Supplier_10,07:21.7,48.86180723,35618.20047,210,4/3/2024,14,0,0
Women,Jeans,Low,16.7993168,44.08766024,Jeans in Women category,07:21.7,Available,81,93,13,Supplier_4,07:21.7,44.08766024,225.429386,24,7/9/2024,28,299,0
Women,Shirt,Premium,348.0863793,23.66185309,Shirt in Women category,07:21.7,Available,156,50,5,Supplier_5,07:21.7,23.66185309,41452.73989,156,3/11/2023,10,0,0
Home,Bags,Medium,42.13506098,5.909463188,Bags in Home category,07:21.7,Available,138,54,29,Supplier_10,07:21.7,5.909463188,5471.024499,138,5/12/2022,19,0,0
Kids,Jacket,Low,17.95384172,45.90555489,Jacket in Kids category,07:21.7,Out of Stock,352,86,30,Supplier_5,07:21.7,45.90555489,359.3451489,37,4/21/2024,16,0,0
Accessories,Bags,Premium,440.4472297,9.79900557,Bags in Accessories category,07:21.7,Available,149,85,13,Supplier_6,07:21.7,9.79900557,59195.87939,149,5/2/2022,18,0,0
Home,Jacket,Medium,74.0018143,47.59769698,Jacket in Home category,07:21.7,Out of Stock,154,16,16,Supplier_6,07:21.7,47.59769698,2132.826023,55,1/12/2021,2,97,0
Men,Dress,Low,15.80096429,21.81394434,Dress in Men category,07:21.7,Available,304,17,12,Supplier_2,07:21.7,21.81394434,3162.662587,256,12/10/2022,49,0,0
Shoes,Dress,Low,28.3685623,7.662378182,Dress in Shoes category,07:21.7,Out of Stock,306,34,18,Supplier_7,07:21.7,7.662378182,6024.816827,230,12/25/2022,51,0,0
Shoes,Dress,Premium,324.7154115,28.4380687,Dress in Shoes category,07:21.7,Available,163,48,17,Supplier_3,07:21.7,28.4380687,36250.12868,156,2/17/2023,7,0,0
Men,Sneakers,Low,21.69076408,26.22852743,Sneakers in Men category,07:21.7,Available,83,51,15,Supplier_9,07:21.7,26.22852743,1152.114917,72,5/3/2024,18,0,0
Shoes,Jeans,High,160.5766764,5.661133749,Jeans in Shoes category,07:21.7,Out of Stock,258,66,18,Supplier_7,07:21.7,5.661133749,2272.29324,15,1/14/2024,2,0,0
Women,Dress,Low,9.531806278,8.605316736,Dress in Women category,07:21.7,Out of Stock,78,42,26,Supplier_10,07:21.7,8.605316736,679.5020042,78,2/5/2022,5,0,0
Home,Jeans,High,165.4113889,42.58254445,Jeans in Home category,07:21.7,Available,281,84,1,Supplier_4,07:21.7,42.58254445,21464.35241,226,5/28/2021,21,0,0
Kids,Shirt,Premium,370.3239763,26.35813075,Shirt in Kids category,07:21.7,Out of Stock,264,80,27,Supplier_9,07:21.7,26.35813075,36270.89529,133,2/10/2023,6,0,0
Men,Shirt,High,154.9334718,42.05592926,Shirt in Men category,07:21.7,Available,345,64,16,Supplier_10,07:21.7,42.05592926,15890.13261,177,3/26/2024,13,0,0
Home,Sneakers,Medium,68.61480492,48.57050664,Sneakers in Home category,07:21.7,Out of Stock,178,62,22,Supplier_10,07:21.7,48.57050664,2082.006546,59,11/10/2021,45,0,0
Women,Bags,Low,24.02342507,9.146020415,Bags in Women category,07:21.7,Out of Stock,60,37,6,Supplier_5,07:21.7,9.146020415,1309.574263,60,10/17/2021,41,0,0
Accessories,Dress,Premium,289.5493342,41.03775228,Dress in Accessories category,07:21.7,Out of Stock,11,46,10,Supplier_10,07:21.7,41.03775228,1536.523161,9,12/29/2020,53,69,0
Kids,Jacket,Medium,38.90260926,49.63767989,Jacket in Kids category,07:21.7,Out of Stock,188,23,11,Supplier_9,07:21.7,49.63767989,2880.061721,147,11/4/2021,44,0,0
Accessories,Sneakers,Low,7.713953726,12.83727326,Sneakers in Accessories category,07:21.7,Out of Stock,117,79,6,Supplier_3,07:21.7,12.83727326,786.6720116,117,2/12/2022,6,160,0
Women,Sneakers,Low,28.99602974,42.16028167,Sneakers in Women category,07:21.7,Out of Stock,41,62,3,Supplier_10,07:21.7,42.16028167,318.6532167,19,8/18/2023,33,0,0
Shoes,Shirt,High,112.9710464,7.232611893,Shirt in Shoes category,07:21.7,Out of Stock,290,56,23,Supplier_2,07:21.7,7.232611893,21379.25896,204,10/10/2021,40,0,0
Men,Jeans,High,121.8133432,42.75973683,Jeans in Men category,07:21.7,Out of Stock,445,65,22,Supplier_7,07:21.7,42.75973683,15967.31771,229,8/18/2024,33,0,0
Shoes,Shirt,Premium,436.593916,29.04067713,Shirt in Shoes category,07:21.7,Out of Stock,369,15,17,Supplier_3,07:21.7,29.04067713,14250.98798,46,7/22/2022,29,0,0
Men,Sneakers,Low,5.990693075,17.55036463,Sneakers in Men category,07:21.7,Available,374,61,1,Supplier_8,07:21.7,17.55036463,790.2887354,160,8/24/2022,34,134,0
Women,Bags,High,161.2803314,21.08328687,Bags in Women category,07:21.7,Out of Stock,171,49,22,Supplier_1,07:21.7,21.08328687,21764.39034,171,11/2/2021,44,0,0
Shoes,Jacket,Medium,84.45237718,36.455504,Jacket in Shoes category,07:21.7,Available,204,17,23,Supplier_1,07:21.7,36.455504,3380.884759,63,5/14/2021,19,88,0
Shoes,Sneakers,High,117.9955634,35.03162432,Sneakers in Shoes category,07:21.7,Out of Stock,69,65,22,Supplier_8,07:21.7,35.03162432,5289.526264,69,11/14/2021,45,2,0
Kids,Dress,Medium,87.21887817,5.669085856,Dress in Kids category,07:21.7,Out of Stock,251,70,20,Supplier_7,07:21.7,5.669085856,20650.86564,251,1/11/2023,2,0,0
Women,Shirt,Premium,358.4947304,12.04047496,Shirt in Women category,07:21.7,Available,53,13,24,Supplier_9,07:21.7,12.04047496,16712.50389,53,5/1/2021,17,0,0
Home,Jeans,Premium,317.4055956,43.37392613,Jeans in Home category,07:21.7,Available,31,47,29,Supplier_2,07:21.7,43.37392613,179.734327,1,12/24/2023,51,0,0
Accessories,Sneakers,Low,5.999083873,8.866345756,Sneakers in Accessories category,07:21.7,Out of Stock,170,50,19,Supplier_4,07:21.7,8.866345756,929.4213403,170,6/8/2023,23,0,0
Kids,Jeans,Medium,93.24000813,16.40056629,Jeans in Kids category,07:21.7,Available,112,50,24,Supplier_6,07:21.7,16.40056629,8730.189304,112,11/2/2021,44,117,0
Kids,Jeans,Medium,59.24732478,5.521733176,Jeans in Kids category,07:21.7,Out of Stock,13,90,27,Supplier_4,07:21.7,5.521733176,727.6859927,13,11/17/2022,46,156,0
Home,Jeans,Medium,70.73098057,15.18718817,Jeans in Home category,07:21.7,Available,450,48,1,Supplier_10,07:21.7,15.18718817,18176.64684,303,12/25/2020,52,122,0
Women,Jeans,Low,28.01028758,27.38630751,Jeans in Women category,07:21.7,Out of Stock,363,66,3,Supplier_4,07:21.7,27.38630751,4393.289684,216,3/19/2021,11,0,0
Home,Bags,Low,27.36742746,5.559444874,Bags in Home category,07:21.7,Available,372,94,26,Supplier_6,07:21.7,5.559444874,7314.403969,283,11/9/2023,45,21,0
Men,Sneakers,Low,18.78250516,21.27432517,Sneakers in Men category,07:21.7,Available,50,47,18,Supplier_9,07:21.7,21.27432517,739.332697,50,5/30/2023,22,0,0
Shoes,Jeans,Premium,326.6294018,5.692411525,Jeans in Shoes category,07:21.7,Out of Stock,92,38,28,Supplier_5,07:21.7,5.692411525,28339.34071,92,11/10/2021,45,287,0
Accessories,Dress,Premium,248.0333877,17.25852902,Dress in Accessories category,07:21.7,Out of Stock,496,23,21,Supplier_6,07:21.7,17.25852902,59515.67731,290,7/26/2022,30,0,0
Home,Dress,High,160.8689219,47.65638004,Dress in Home category,07:21.7,Available,49,38,2,Supplier_9,07:21.7,47.65638004,4126.026238,49,3/30/2024,13,0,0
Men,Jacket,Low,7.56074075,13.55663133,Jacket in Men category,07:21.7,Available,127,93,11,Supplier_10,07:21.7,13.55663133,830.0413931,127,9/24/2024,39,0,0
Women,Dress,Premium,435.0862145,6.77954833,Dress in Women category,07:21.7,Available,249,12,21,Supplier_7,07:21.7,6.77954833,100991.7442,249,8/16/2022,33,194,0
Accessories,Dress,High,160.6746843,44.0901734,Dress in Accessories category,07:21.7,Out of Stock,342,45,24,Supplier_1,07:21.7,44.0901734,4222.148058,47,5/2/2023,18,0,0
Shoes,Shirt,Low,29.12306688,20.86722245,Shirt in Shoes category,07:21.7,Out of Stock,416,13,10,Supplier_3,07:21.7,20.86722245,5346.646882,232,2/16/2021,7,0,0
Women,Dress,Premium,462.7096104,35.51425724,Dress in Women category,07:21.7,Out of Stock,308,92,18,Supplier_5,07:21.7,35.51425724,91901.57256,308,7/29/2022,30,4,0
Women,Jeans,High,170.9844901,16.34094441,Jeans in Women category,07:21.7,Available,183,95,30,Supplier_7,07:21.7,16.34094441,7438.288501,52,6/3/2023,22,0,0
Men,Bags,Low,28.63919387,9.397075206,Bags in Men category,07:21.7,Out of Stock,266,11,24,Supplier_10,07:21.7,9.397075206,2984.013938,115,12/30/2020,53,0,0
Men,Sneakers,High,118.1849455,46.42760281,Sneakers in Men category,07:21.7,Available,13,65,30,Supplier_7,07:21.7,46.42760281,443.2015591,7,9/5/2022,36,0,0
Home,Dress,Medium,48.05428493,23.94962403,Dress in Home category,07:21.7,Available,152,90,21,Supplier_1,07:21.7,23.94962403,5554.910583,152,10/6/2023,40,0,0
Men,Jacket,Medium,55.3507762,37.2534285,Jacket in Men category,07:21.7,Available,133,36,12,Supplier_1,07:21.7,37.2534285,4619.18501,133,5/6/2022,18,0,0
Accessories,Bags,Low,5.788102529,37.44481568,Bags in Accessories category,07:21.7,Available,43,85,5,Supplier_4,07:21.7,37.44481568,57.93213129,16,11/15/2021,46,0,0
Home,Bags,Medium,76.86963269,37.31831851,Bags in Home category,07:21.7,Available,386,52,3,Supplier_5,07:21.7,37.31831851,7564.758997,157,10/13/2023,41,0,0
Shoes,Jeans,High,166.5097237,20.09099297,Jeans in Shoes category,07:21.7,Out of Stock,329,49,11,Supplier_5,07:21.7,20.09099297,43775.51179,329,8/5/2023,31,285,0
Kids,Shirt,Medium,95.14539005,20.68405954,Shirt in Kids category,07:21.7,Out of Stock,469,56,1,Supplier_6,07:21.7,20.68405954,1886.636523,25,4/5/2021,14,0,0
Home,Shirt,Low,19.90043944,32.12072909,Shirt in Home category,07:21.7,Available,392,63,28,Supplier_2,07:21.7,32.12072909,3052.869743,226,11/18/2021,46,0,0
Men,Jeans,Low,16.39450404,34.46142444,Jeans in Men category,07:21.7,Available,354,96,8,Supplier_2,07:21.7,34.46142444,257.873386,24,3/6/2024,10,0,0
Women,Jacket,Premium,486.5845549,11.17642699,Jacket in Women category,07:21.7,Out of Stock,165,52,14,Supplier_2,07:21.7,11.17642699,71313.29492,165,12/16/2021,50,55,0
Shoes,Shirt,High,131.5562154,35.86054303,Shirt in Shoes category,07:21.7,Out of Stock,265,26,18,Supplier_3,07:21.7,35.86054303,21094.86055,250,9/29/2021,39,0,0
Home,Jacket,Premium,346.4417242,24.34902054,Jacket in Home category,07:21.7,Out of Stock,230,26,13,Supplier_9,07:21.7,24.34902054,60279.90825,230,9/11/2023,37,0,0
Accessories,Shirt,High,198.711286,49.08549581,Shirt in Accessories category,07:21.7,Available,424,88,5,Supplier_3,07:21.7,49.08549581,8195.002148,81,1/25/2023,4,0,0
Shoes,Dress,Medium,35.07411255,39.68554159,Dress in Shoes category,07:21.7,Available,216,57,24,Supplier_5,07:21.7,39.68554159,2432.797518,115,12/10/2020,50,0,0
Women,Sneakers,Premium,393.8910333,22.79029805,Sneakers in Women category,07:21.7,Out of Stock,264,65,5,Supplier_10,07:21.7,22.79029805,57174.95345,188,6/25/2021,25,0,0
Home,Bags,Low,12.12462626,18.73684,Bags in Home category,07:21.7,Available,314,55,4,Supplier_10,07:21.7,18.73684,1635.573837,166,11/26/2023,47,35,0
Men,Dress,Low,27.39599968,27.21002386,Dress in Men category,07:21.7,Out of Stock,460,29,4,Supplier_10,07:21.7,27.21002386,697.953957,35,12/27/2021,52,0,0
Home,Sneakers,Medium,93.67214267,14.88129681,Sneakers in Home category,07:21.7,Out of Stock,196,46,28,Supplier_4,07:21.7,14.88129681,1036.52267,13,11/30/2022,48,0,0
Kids,Jacket,Medium,76.57381988,48.84828996,Jacket in Kids category,07:21.7,Available,274,42,30,Supplier_2,07:21.7,48.84828996,9283.009938,237,3/6/2021,9,0,0
Men,Jacket,Medium,72.09096829,17.74282753,Jacket in Men category,07:21.7,Available,53,75,27,Supplier_10,07:21.7,17.74282753,1660.399779,28,1/8/2024,2,0,0
Men,Dress,Low,10.01425416,13.20545256,Dress in Men category,07:21.7,Available,233,44,26,Supplier_9,07:21.7,13.20545256,2025.195592,233,12/21/2023,51,0,0
Accessories,Jeans,Premium,299.6746932,17.88398874,Jeans in Accessories category,07:21.7,Available,296,46,5,Supplier_3,07:21.7,17.88398874,41587.67292,169,1/28/2023,4,0,0
Men,Dress,High,110.4384474,12.25753911,Dress in Men category,07:21.7,Available,243,23,8,Supplier_9,07:21.7,12.25753911,23547.043,243,5/18/2021,20,119,0
Shoes,Jacket,High,124.2949329,46.75417577,Jacket in Shoes category,07:21.7,Out of Stock,33,81,19,Supplier_8,07:21.7,46.75417577,794.1823378,12,6/6/2021,22,176,0
Men,Shirt,Low,28.30045617,18.28942724,Shirt in Men category,07:21.7,Out of Stock,220,11,7,Supplier_2,07:21.7,18.28942724,2289.322018,99,1/31/2024,5,0,0
Kids,Jacket,Medium,44.9840833,19.21156684,Jacket in Kids category,07:21.7,Out of Stock,314,34,19,Supplier_2,07:21.7,19.21156684,981.2322738,27,11/9/2023,45,0,0
Home,Sneakers,Premium,363.3791164,43.63068767,Sneakers in Home category,07:21.7,Available,335,44,3,Supplier_7,07:21.7,43.63068767,10651.38407,52,5/27/2024,22,0,0
Men,Dress,Premium,356.8561484,33.59620821,Dress in Men category,07:21.7,Out of Stock,14,88,23,Supplier_8,07:21.7,33.59620821,3317.524193,14,6/25/2022,25,0,0
Shoes,Bags,Premium,315.3419533,14.20510763,Bags in Shoes category,07:21.7,Out of Stock,259,95,20,Supplier_1,07:21.7,14.20510763,37606.07323,139,7/17/2021,28,0,0
Men,Jeans,Low,8.08386878,6.074708422,Jeans in Men category,07:21.7,Available,191,41,14,Supplier_5,07:21.7,6.074708422,1032.620436,136,2/5/2024,6,0,0
Kids,Jacket,Premium,233.7882542,47.76867405,Jacket in Kids category,07:21.7,Out of Stock,386,88,23,Supplier_6,07:21.7,47.76867405,39930.20056,327,12/2/2021,48,290,0
Home,Sneakers,Premium,301.3709306,33.9238884,Sneakers in Home category,07:21.7,Available,159,98,19,Supplier_10,07:21.7,33.9238884,31463.20241,158,11/14/2022,46,168,0
